Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mewtwo,Confusion or Psycho Cut,Ice Beam,30,1.3898173016304536,1.4401999651257131,1.5243099392059167,1.590609203477154,1.618410651024779,1.691286877346528,1.622157376875818,1.657450349856072,1.490232596478138,1.5184994938091674,1.3529801168586382,1.3786863397634668,1.4425073112552582,1.4504975259824924,1.4163595667543132,1.4508861437343723,1.593412125460242,1.6417572825951756,1.4615075868180618,1.520184606251954,1.3858646826655037,1.3972658310256856,1.42448474137384,1.4624429713523688,1.4312384099283122,1.456238505648106,1.6253040954212226,1.6582446186588524,1.581563987553934,1.6074300407868873,1.4194058405322618,1.5295305836487112,1.4205541492699987,1.495279471969254,1.302484947010494,1.35979669234711,1.4668382508899829,1.540144877312103,1.450379086145924,1.483097726885663,1.3899193828952858,1.4202027481176416,1.457455819541264,1.5724465298030075,1.3974142543351813,1.4705208586814336,1.5951437601369798,1.6689745718554658
Tyrantrum,Rock Throw,Meteor Beam,40,1.1477758063152976,1.1252118714649415,1.165188389017678,1.1677822291357212,1.1270782183208614,1.1598664590253476,1.2067546535288924,1.2029226116692535,1.1516492321819507,1.1734051973113897,1.2066633059536784,1.0780882205624855,1.1207047821119596,1.1163263328205104,1.1409060508409639,1.118991375406757,1.1560672411206712,1.1333900989697305,1.1351293836179157,1.1468629331310058,1.1422673779876902,1.1401231274274441,1.1227148524997892,1.1284079145391916,1.1807401086355844,1.1628634001968,1.2494667948482452,1.2274004525474909,1.273180761530902,1.3170009942982035,1.1365089743734273,1.1763960019779232,1.1505708440498315,1.1848958156920393,1.1986061081782462,1.2833937367853063,1.1654717475491574,1.2085971368622679,1.1368592151794747,1.1880557208547469,1.0976724098144315,1.1257976843579482,1.1844399022278118,1.2162326679201023,1.1300492925723762,1.194498606928975,1.1967410378725092,1.255529113167342
Rhyperior,Smack Down,Rock Wrecker,45,1.0538125334999568,1.0817139126788209,1.064351721051751,1.107152181366018,1.0749325040436073,1.108137804044997,1.150980407329177,1.18855333237183,1.0984604938065285,1.1434411753729772,0.9798291437521899,1.0199994160299548,1.0979116850899742,1.1127500960579069,1.083048710999194,1.0991943554305588,1.057923637584688,1.0787298626574113,1.0557148250306265,1.1143580524138725,1.0555869127782131,1.0689850624120476,1.053962147279531,1.097254479655323,1.0848181547265796,1.133680907857574,1.1328317188291943,1.1943555658200267,1.1784194441709872,1.250330960810749,1.115097226155006,1.2091854948466347,1.0882570890716936,1.1501355980426913,1.1772679742389083,1.236623236207234,1.121345337099427,1.2026093431412015,1.073318506496759,1.1520133441529168,1.0546541964071727,1.1233988504958123,1.1356373804723596,1.197592365114996,1.1111266492923646,1.1606546712676604,1.1459411138092057,1.203147737633573
Kyurem (White),Steel Wing,Blizzard,45,1.1694422835215097,1.185387309302966,1.2546858986192593,1.2561080212159885,1.1846903477080986,1.246138830407199,1.2263464645876274,1.2788164210140478,1.4032818028510787,1.4874970173253346,1.3269692139301554,1.3414292816891462,1.1849374796184635,1.2180372727217728,1.2553138734235123,1.2707854045806202,1.198202006300452,1.2160969016105605,1.4363583139252463,1.4805623935585315,0.9857454552713016,0.9837787022869702,1.2353093161866175,1.2522062758268622,1.0085446507312354,1.036769083655271,1.256755324069661,1.2948888109286325,1.3015687755764924,1.4345377940760866,1.2362557215098264,1.2983589294015367,1.1951480325676165,1.2770648499614996,1.2923895333089914,1.407737939057419,1.2449815476513306,1.338603640868517,1.20033580781214,1.2951586371332109,0.995956224380331,1.0127900087361943,1.0454931753470167,1.0824333247660385,1.1901484546297991,1.3131139288295144,1.2699627770652082,1.3728155806825562
Kyurem (White),Dragon Breath,Blizzard,45,1.1287265536329487,1.141880152995887,1.1818572948055273,1.1821774899981747,1.137356509165852,1.1873095529812223,1.133642074752078,1.188436834287063,1.1726586961976693,1.2193392667250615,1.1125178710991148,1.10723490414351,1.1435294338153015,1.159623626199923,1.1679369441850156,1.1839573563949004,1.164902180707976,1.1728325714459595,1.1886905100024752,1.2203560632071093,1.1748985262020046,1.191372558352712,1.2086026240991676,1.2232055569604547,1.182891602438685,1.219160566125148,1.2327259397252042,1.2825631688324992,1.250503594417356,1.3812950401170143,1.1578943296513635,1.2347299045057436,1.171630127077533,1.263468728148317,1.2593697713175576,1.3917298550666997,1.1982924585865062,1.288618566217582,1.1614496238191125,1.2463490918562599,1.4689640194834235,1.522893561572365,1.5881099752568726,1.7442188390160305,1.150375633608763,1.252734617979391,1.1976469905677662,1.288083795483529
Gigalith,Smack Down,Meteor Beam,45,1.1438642320447225,1.1492076102577198,1.196747666551628,1.193141325712757,1.1233509245345894,1.1523347006773854,1.2223566917725055,1.2432910608640877,1.2107940216079465,1.2206150158931481,1.171873694434558,1.1270844614572846,1.1698451483669088,1.1508530262422254,1.1670288500251562,1.1610152950821682,1.1490692126143567,1.1342238598248238,1.17112540207653,1.177709266489641,1.1446638255794581,1.1425852153424851,1.1214696698044853,1.1513904240175257,1.1976293557292124,1.2013430763320685,1.1972167998238246,1.2283532141500375,1.2276916251780996,1.2839739046047274,1.1887159348151841,1.250415069882715,1.1847900620145586,1.2139684801352442,1.2104577975875812,1.2813351215922133,1.1718949523632254,1.2290875998740107,1.1259595067071397,1.1870290225307807,1.1285725798762032,1.1673229550124646,1.1786108409137388,1.2394404941363544,1.158765189966381,1.2029146089633997,1.1952111043832143,1.2680657182902786
Shadow Articuno,Frost Breath,Ice Beam or Blizzard,40,1.2885090242091468,1.3008670168167134,1.3614490272827546,1.361775232611704,1.382960291900508,1.3656498483120487,1.3473742900763623,1.3851366498890798,1.3604897353897945,1.4140169185977036,1.3140888659301722,1.3226009795001124,1.2898432716937545,1.3251069923157233,1.355918803923108,1.3516891659196886,1.2994277703543513,1.3021670415156104,1.4354363774162084,1.3922332685922327,1.524902019342015,1.3638769401321864,1.3249321623103743,1.3583672166610312,1.358864673908188,1.402063814472067,1.3885702742261528,1.4216339406736658,1.4085595134835354,1.4790404157356514,1.328953608328321,1.4096226362126616,1.2998984802330946,1.3579453377682134,1.3993999058365332,1.4720769047065345,1.3221620257191307,1.3961730165815238,1.3134216331560125,1.367437161261884,1.3140137084922414,1.312275372155085,1.3689786809396896,1.4159790699938979,1.2947490908721684,1.3638364600269326,1.3386720662015237,1.4157775561529469
Aerodactyl,Rock Throw,Rock Slide,40,1.3565039231029605,1.3394611710758397,1.3693434449386284,1.3481514452797556,1.3416811703535756,1.3407631843468149,1.3771511933781515,1.3997247750659134,1.5557969059595818,1.4645605475732053,1.519614699795541,1.3526506238785123,1.3244112471798002,1.3316475304131967,1.3414447420582836,1.3472411742993295,1.353476592716524,1.3406223257646412,1.5762796895979523,1.4706208839676493,1.3523209420269269,1.3359906276366489,1.3323706774487158,1.3509884649881754,1.402669640999723,1.396715742204899,1.404454777920392,1.39872026577623,1.4701216247201392,1.4751641758269662,1.3346783122753476,1.399753798516646,1.3100847798253596,1.3743769753545005,1.4200329001335117,1.490986711240566,1.3391715764996495,1.4024929958651224,1.3055183882827919,1.3410390005910697,1.3245236150180077,1.3353397217584184,1.353321012033073,1.403105021680057,1.3005905393475785,1.365684057468348,1.3751241590690189,1.4290067898716308
Shadow Glaceon,Frost Breath,Avalanche,40,1.0799568047117076,1.0444748033277562,1.1190714215065576,1.0932441560361947,1.0682327231876543,1.0751272531964486,1.1340708822781123,1.1393454297894487,1.1073683090235662,1.1140165793361303,1.0998240819090697,1.0008270216096615,1.0863164073310778,1.0634600823197577,1.1711471169803278,1.0822259781185057,1.1493232699782565,1.0470707597003843,1.1163989247090214,1.0857246794628506,1.1669727066768107,1.0681131593109836,1.1939434321277405,1.1327039700557573,1.095866085456079,1.078492942898676,1.1378373609268497,1.124902376850416,1.133719157549034,1.1588486993404987,1.0467766239892375,1.09099989677133,1.0691626039942523,1.0675018949101995,1.098946672801838,1.1393844684781627,1.0781583791300078,1.0984098498307031,1.0801172121539986,1.0733183061341027,1.0829597589194577,1.052138259119413,1.0997640618039541,1.0972761554182286,1.0730491899973034,1.082907150636398,1.1015350375515776,1.1230606674718109
Avalugg,Ice Fang,Avalanche,35,1.4409575526354628,1.4769675849691994,1.5202440301860134,1.539851840814079,1.4862279093530388,1.5425956030424601,1.5497032343837578,1.6088604029816347,1.5233976141869638,1.578984303623527,1.438718748946892,1.4589061664005334,1.4639251698525626,1.5152154656848178,1.505236553230357,1.5488672986398335,1.483876833160812,1.5226513573838125,1.530089363496844,1.568856776945488,1.5103633403016996,1.5096990295212553,1.517656078777908,1.5473518912626951,1.5142443018006808,1.5474228721808925,1.5422736255062008,1.5975599606778919,1.5877734446121907,1.6730252257883886,1.4805420588306157,1.6024360197765797,1.451804737313134,1.5492305949528775,1.5834168817751342,1.6839457549197834,1.5122058121185007,1.615050591289113,1.4685444654825233,1.5427267353910576,1.5020175946813468,1.5422136940139144,1.5513658833518558,1.6505961621820406,1.4797931375776336,1.5606963243624565,1.5494633207029211,1.6268989223084607
Crabominable,Frost Breath,Glaciate,50,1.1571198942208798,1.105411685700449,1.4321772438934552,1.1880069077190718,1.115544011827993,1.1261123080781266,1.2219518501808837,1.174699947575862,1.1206938125348607,1.1341771355039623,1.285914850242844,1.0406094039027665,1.1807062459644706,1.1046932724826215,1.2469225118137066,1.1443253721497562,1.1988448637864957,1.120322934189053,1.1464764749517962,1.1413343302267547,1.0902808561340689,1.0611401608994027,1.5026646360348124,1.2069632487836572,1.1129156951107604,1.10396302280556,1.2164508102431253,1.2398661719475734,1.1754120353809938,1.241185465357082,1.1042806741119515,1.1484390034609235,1.150564069792911,1.1186109536723623,1.155199125167258,1.2234040222199267,1.1566633047498258,1.1537447772948648,1.1790490187238902,1.1567618389284606,1.1248837692567017,1.114473781928752,1.167876665764925,1.1768937809992406,1.1115183729955025,1.116191319471968,1.205903196868823,1.2087703763162696
Crabominable,Frost Breath,Avalanche,50,1.1739372434071789,1.1752882193658765,1.4248688145270383,1.2587147624024733,1.1739058912871507,1.1960907581163134,1.2801583700470671,1.2676440325790548,1.1952558415502694,1.2174128264246065,1.2265675671807912,1.1190309836502237,1.2059253167123203,1.1901272163753136,1.276079677020749,1.2346842732466459,1.2494817688884097,1.1861541672828142,1.2154592878680004,1.2253409771510442,1.1264079081618943,1.1304393755954651,1.4652372685349617,1.2768052402425014,1.1830333794064607,1.1915609920144166,1.3147396599945955,1.3177181578430333,1.24822300000437,1.307132123693065,1.1823960634288233,1.2435895990594035,1.1823783512813508,1.206326817250871,1.2512638140328607,1.3075770289014084,1.2243515493887311,1.2522923290665593,1.2158652561135654,1.2311478776585618,1.173855655766298,1.1881886137095699,1.24437060466646,1.27118346149016,1.1962281911145525,1.2097968078960422,1.2572940722008163,1.2912254926980695
Crabominable,Bubble,Ice Punch,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,Rock Smash,Ice Punch,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Glalie,Frost Breath,Avalanche,30,1.294011854375354,1.264206037354481,1.3311767997132957,1.334426832730187,1.3234775228727755,1.3387577464038032,1.3215688895948512,1.3305163150695718,1.3378184551008039,1.348101850345186,1.3639621005748757,1.2462403177535666,1.337317230481205,1.2946824667836563,1.427739161833586,1.3220377080641041,1.3740760591907215,1.2675001428038346,1.3614469789599524,1.3166283308419375,1.4203015923344384,1.3163390664333812,1.4777331367105848,1.3731542702464132,1.3412270735140777,1.339225365234826,1.3785617109021355,1.3659879367602537,1.381007050231337,1.4252808470279803,1.2655675797430423,1.3517409725201743,1.3005187387236847,1.2905243575934529,1.3531748684077518,1.399180921457836,1.3067487106781557,1.3148072278920442,1.3184638996583815,1.3177777777777777,1.2956561036573238,1.2694551346402405,1.3389652418400269,1.3452424731964456,1.2760994426677457,1.3037697896911014,1.3603616687125755,1.3850364132616022
Mega Glalie,Ice Shard,Avalanche,30,1.323482915541242,1.2960553146539737,1.3893152833051314,1.3794112522289965,1.3591386210803316,1.3598169403518652,1.380260173324217,1.4000046283986938,1.3542939394940805,1.3761423219891382,1.3871771026499315,1.2770290997120775,1.3580133053991363,1.3259588500857256,1.4226556969662814,1.3427762709772666,1.4189949919896392,1.3201507154338648,1.4135462221353126,1.3680758063495433,1.4729528088300436,1.3712954482466355,1.508320192000788,1.401256453459793,1.3642966126679403,1.3571147565462767,1.3901045031485428,1.373425486009451,1.3834622693815035,1.423835493102323,1.2806161093755284,1.3588785608641323,1.3311237965344407,1.3361531930459996,1.3788493460021312,1.420305723772556,1.3200433645683503,1.351336775712107,1.3287136917821256,1.3419348220278704,1.3315637600449248,1.318594412162357,1.3784422557582048,1.386077065742059,1.3105790668622168,1.324279496650618,1.357275473585376,1.3764747159809658
Mega Glalie,Ice Fang,Avalanche,30,1.3205646735342056,1.3014201820058005,1.3777855103592729,1.3799311808306496,1.3600145139368645,1.363926306920565,1.3646568454339094,1.3946940424269403,1.3477327463186661,1.3890024088828228,1.3926496867566212,1.3001063610264394,1.357804463231738,1.3334470369501759,1.4194381921990282,1.3429718794257748,1.4402371024114364,1.3445007711407064,1.4165908579712294,1.373610162280598,1.4693093486407076,1.382572839646448,1.504652363214119,1.4161863332035776,1.3583602305953644,1.366588782661189,1.3741296208623777,1.3768618132639774,1.3671904141698987,1.4134609270491907,1.2651205354981734,1.350407620618943,1.3175234784454435,1.332476954354304,1.3574291642706906,1.4134315697292994,1.3145930531645431,1.3413506689756185,1.3230456526312624,1.3546557268656267,1.3240673602987876,1.3321974796934437,1.3634911110941064,1.3869814779888792,1.3063652044122742,1.3320874327305403,1.3461911027014442,1.3725440372251378
Lycanroc (Midday),Rock Throw,Stone Edge,30,1.521419712381228,1.4666909023463175,1.6360121046217584,1.5458986078607297,1.5316343007241253,1.5047517654409315,1.748285647572086,1.6483567285990832,1.56196512114591,1.544536500210279,1.6644141695599728,1.4541783172152984,1.590598709745687,1.4787190365240692,1.6229304907117563,1.4748712717123371,1.6377035755410931,1.4846518175591596,1.6461098172386266,1.5365408524388282,1.687880646699213,1.5167195499914397,1.4685379924211213,1.4951903196445637,1.5500588995797262,1.5167444868589486,1.6413723625766872,1.586621772670861,1.6519624259697006,1.6177365980944571,1.5187754382963334,1.542997835734671,1.5098732912877788,1.4949276810438978,1.5434075353973802,1.5790394037467632,1.5374192547951873,1.525335875523013,1.4956406295394664,1.4852245764834349,1.4870376804314633,1.4418969279005092,1.5430548572435125,1.5562301862553884,1.4440408901854807,1.4675555275560606,1.5508015030178226,1.5544410666241693
Shadow Aggron,Smack Down or Iron Tail,Meteor Beam,40,1.0882077439396602,1.0793377734047875,1.1127771508296034,1.1311615360395493,1.1154401456131444,1.1520507085794176,1.1655869816184508,1.1796288697729813,1.2125922964251503,1.2111888215573337,1.2710633148170973,1.1248375616919344,1.1258881130312413,1.1084498810234298,1.280785625610139,1.1215624892462182,1.2536554845480914,1.1276135637484326,1.181019546941878,1.1860768484852142,1.240155448569079,1.1006393597803696,1.1011208254366949,1.135817068862477,1.1286675038957956,1.1689218250063493,1.1811660756287297,1.2196712753659884,1.265003007253637,1.2771124427895821,1.1368467332767895,1.2016711329092338,1.1598696407159939,1.17617358355933,1.217120350816915,1.2773360834810505,1.1603237625222067,1.212660124975715,1.1055803804886843,1.16759134032599,1.093045787825976,1.124814598932774,1.15737430270698,1.2251939682043835,1.118172552964333,1.1516221803537465,1.1766908858705967,1.230526900795022
Shadow Piloswine,Ice Shard,Avalanche,35,1.469345086493572,1.4001105143601278,1.6364740043211845,1.5117767325552036,1.4113424639936152,1.4550019440748767,1.6529432495987229,1.5612944714064194,1.3816237837943792,1.433839155585483,1.3857916741105536,1.304040311013675,1.6249802634958244,1.4497400950033161,1.592486109525639,1.4471943620667962,1.5646214844231714,1.4238391115946571,1.378140642961627,1.4025628002919412,1.492536349768493,1.4210709276321192,1.5966524882343638,1.5026115971430982,1.464556396188055,1.4285816113342444,1.5412497216815044,1.5225562513502084,1.5216613931444132,1.5460841870176372,1.4155230278405735,1.4540394793296192,1.4242237266090554,1.405693123150722,1.4629063515412777,1.5177045178394106,1.4600849314745268,1.4764268179622606,1.4419163686272152,1.4495060058706257,1.3967271250048905,1.4075167584291155,1.4368201622804668,1.4777230981318346,1.4243131537358036,1.4197600435592144,1.4841526210094218,1.4966464658407876
